,month,urate,vrate,t,urate_1,vrate_1,curate,cvrate
0,2000-12-01,3.8,4.0,1,,,,
1,2001-01-01,4.1,4.1,2,3.8,4.0,0.3,0.1
2,2001-02-01,4.1,3.7,3,4.1,4.1,0.0,-0.4
3,2001-03-01,4.1,3.7,4,4.1,3.7,0.0,0.0
4,2001-04-01,4.2,3.6,5,4.1,3.7,0.1,-0.1
5,2001-05-01,4.3,3.5,6,4.2,3.6,0.1,-0.1
6,2001-06-01,4.4,3.3,7,4.3,3.5,0.1,-0.2
7,2001-07-01,4.5,3.3,8,4.4,3.3,0.1,0.0
8,2001-08-01,4.8,3.2,9,4.5,3.3,0.3,-0.1
9,2001-09-01,5.0,3.2,10,4.8,3.2,0.2,0.0
10,2001-10-01,5.3,2.8,11,5.0,3.2,0.3,-0.4
11,2001-11-01,5.5,2.8,12,5.3,2.8,0.2,0.0
12,2001-12-01,5.8,2.8,13,5.5,2.8,0.3,0.0
13,2002-01-01,5.8,2.8,14,5.8,2.8,0.0,0.0
14,2002-02-01,5.9,2.6,15,5.8,2.8,0.1,-0.2
15,2002-03-01,5.8,2.8,16,5.9,2.6,-0.1,0.2
16,2002-04-01,6.1,2.7,17,5.8,2.8,0.3,-0.1
17,2002-05-01,5.9,2.7,18,6.1,2.7,-0.2,0.0
18,2002-06-01,5.9,2.6,19,5.9,2.7,0.0,-0.1
19,2002-07-01,5.9,2.7,20,5.9,2.6,0.0,0.1
20,2002-08-01,5.8,2.7,21,5.9,2.7,-0.1,0.0
21,2002-09-01,5.7,2.6,22,5.8,2.7,-0.1,-0.1
22,2002-10-01,5.8,2.8,23,5.7,2.6,0.1,0.2
23,2002-11-01,6.0,2.8,24,5.8,2.8,0.2,0.0
24,2002-12-01,6.1,2.4,25,6.0,2.8,0.1,-0.4
25,2003-01-01,6.0,2.9,26,6.1,2.4,-0.1,0.5
26,2003-02-01,6.0,2.7,27,6.0,2.9,0.0,-0.2
27,2003-03-01,6.0,2.4,28,6.0,2.7,0.0,-0.3
28,2003-04-01,6.2,2.5,29,6.0,2.4,0.2,0.1
29,2003-05-01,6.2,2.5,30,6.2,2.5,0.0,0.0
30,2003-06-01,6.4,2.5,31,6.2,2.5,0.2,0.0
31,2003-07-01,6.3,2.5,32,6.4,2.5,-0.1,0.0
32,2003-08-01,6.2,2.6,33,6.3,2.5,-0.1,0.1
33,2003-09-01,6.1,2.5,34,6.2,2.6,-0.1,-0.1
34,2003-10-01,6.1,2.5,35,6.1,2.5,0.0,0.0
35,2003-11-01,6.0,2.7,36,6.1,2.5,-0.1,0.2
36,2003-12-01,5.8,2.6,37,6.0,2.7,-0.2,-0.1
37,2004-01-01,5.7,2.7,38,5.8,2.6,-0.1,0.1
38,2004-02-01,5.6,2.8,39,5.7,2.7,-0.1,0.1
39,2004-03-01,5.8,2.7,40,5.6,2.8,0.2,-0.1
40,2004-04-01,5.6,2.8,41,5.8,2.7,-0.2,0.1
41,2004-05-01,5.7,2.9,42,5.6,2.8,0.1,0.1
42,2004-06-01,5.6,2.7,43,5.7,2.9,-0.1,-0.2
43,2004-07-01,5.6,3.1,44,5.6,2.7,0.0,0.4
44,2004-08-01,5.4,2.9,45,5.6,3.1,-0.2,-0.2
45,2004-09-01,5.5,3.0,46,5.4,2.9,0.1,0.1
46,2004-10-01,5.4,3.0,47,5.5,3.0,-0.1,0.0
47,2004-11-01,5.4,2.7,48,5.4,3.0,0.0,-0.3
48,2004-12-01,5.4,3.0,49,5.4,2.7,0.0,0.3
49,2005-01-01,5.2,2.9,50,5.4,3.0,-0.2,-0.1
50,2005-02-01,5.4,3.0,51,5.2,2.9,0.2,0.1
51,2005-03-01,5.1,3.1,52,5.4,3.0,-0.3,0.1
52,2005-04-01,5.1,3.2,53,5.1,3.1,0.0,0.1
53,2005-05-01,5.0,3.1,54,5.1,3.2,-0.1,-0.1
54,2005-06-01,5.0,3.2,55,5.0,3.1,0.0,0.1
55,2005-07-01,4.9,3.2,56,5.0,3.2,-0.1,0.0
56,2005-08-01,4.9,3.2,57,4.9,3.2,0.0,0.0
57,2005-09-01,5.0,3.3,58,4.9,3.2,0.1,0.1
58,2005-10-01,4.9,3.3,59,5.0,3.3,-0.1,0.0
59,2005-11-01,4.9,3.5,60,4.9,3.3,0.0,0.2
60,2005-12-01,4.7,3.3,61,4.9,3.5,-0.2,-0.2
61,2006-01-01,4.7,3.3,62,4.7,3.3,0.0,0.0
62,2006-02-01,4.7,3.3,63,4.7,3.3,0.0,0.0
63,2006-03-01,4.6,3.4,64,4.7,3.3,-0.1,0.1
64,2006-04-01,4.7,3.4,65,4.6,3.4,0.1,0.0
65,2006-05-01,4.5,3.4,66,4.7,3.4,-0.2,0.0
66,2006-06-01,4.5,3.3,67,4.5,3.4,0.0,-0.1
67,2006-07-01,4.6,3.0,68,4.5,3.3,0.1,-0.3
68,2006-08-01,4.6,3.4,69,4.6,3.0,0.0,0.4
69,2006-09-01,4.4,3.4,70,4.6,3.4,-0.2,0.0
70,2006-10-01,4.3,3.4,71,4.4,3.4,-0.1,0.0
71,2006-11-01,4.4,3.6,72,4.3,3.4,0.1,0.2
72,2006-12-01,4.4,3.5,73,4.4,3.6,0.0,-0.1
73,2007-01-01,4.6,3.5,74,4.4,3.5,0.2,0.0
74,2007-02-01,4.4,3.4,75,4.6,3.5,-0.2,-0.1
75,2007-03-01,4.4,3.6,76,4.4,3.4,0.0,0.2
76,2007-04-01,4.4,3.4,77,4.4,3.6,0.0,-0.2
77,2007-05-01,4.3,3.4,78,4.4,3.4,-0.1,0.0
78,2007-06-01,4.5,3.6,79,4.3,3.4,0.2,0.2
79,2007-07-01,4.6,3.3,80,4.5,3.6,0.1,-0.3
80,2007-08-01,4.6,3.4,81,4.6,3.3,0.0,0.1
81,2007-09-01,4.7,3.4,82,4.6,3.4,0.1,0.0
82,2007-10-01,4.7,3.2,83,4.7,3.4,0.0,-0.2
83,2007-11-01,4.6,3.3,84,4.7,3.2,-0.1,0.1
84,2007-12-01,4.9,3.2,85,4.6,3.3,0.3,-0.1
85,2008-01-01,4.9,3.2,86,4.9,3.2,0.0,0.0
86,2008-02-01,4.8,3.0,87,4.9,3.2,-0.1,-0.2
87,2008-03-01,5.0,3.0,88,4.8,3.0,0.2,0.0
88,2008-04-01,5.0,3.0,89,5.0,3.0,0.0,0.0
89,2008-05-01,5.4,3.0,90,5.0,3.0,0.4,0.0
90,2008-06-01,5.6,2.8,91,5.4,3.0,0.2,-0.2
91,2008-07-01,5.8,2.8,92,5.6,2.8,0.2,0.0
92,2008-08-01,6.3,2.8,93,5.8,2.8,0.5,0.0
93,2008-09-01,6.2,2.4,94,6.3,2.8,-0.1,-0.4
94,2008-10-01,6.7,2.6,95,6.2,2.4,0.5,0.2
95,2008-11-01,7.0,2.4,96,6.7,2.6,0.3,-0.2
96,2008-12-01,7.6,2.4,97,7.0,2.4,0.6,0.0
97,2009-01-01,8.2,2.1,98,7.6,2.4,0.6,-0.3
98,2009-02-01,8.9,2.2,99,8.2,2.1,0.7,0.1
99,2009-03-01,9.4,2.0,100,8.9,2.2,0.5,-0.2
100,2009-04-01,9.6,1.8,101,9.4,2.0,0.2,-0.2
101,2009-05-01,10.1,1.9,102,9.6,1.8,0.5,0.1
102,2009-06-01,10.3,1.9,103,10.1,1.9,0.2,0.0
103,2009-07-01,10.2,1.7,104,10.3,1.9,-0.1,-0.2
104,2009-08-01,10.5,1.8,105,10.2,1.7,0.3,0.1
105,2009-09-01,10.6,2.0,106,10.5,1.8,0.1,0.2
106,2009-10-01,10.9,1.8,107,10.6,2.0,0.3,-0.2
107,2009-11-01,10.8,1.9,108,10.9,1.8,-0.1,0.1
108,2009-12-01,10.8,1.9,109,10.8,1.9,0.0,0.0
109,2010-01-01,10.6,2.1,110,10.8,1.9,-0.2,0.2
110,2010-02-01,10.6,2.0,111,10.6,2.1,0.0,-0.1
111,2010-03-01,10.6,2.1,112,10.6,2.0,0.0,0.1
112,2010-04-01,10.6,2.3,113,10.6,2.1,0.0,0.2
113,2010-05-01,10.3,2.3,114,10.6,2.3,-0.3,0.0
114,2010-06-01,10.1,2.1,115,10.3,2.3,-0.2,-0.2
115,2010-07-01,10.2,2.4,116,10.1,2.1,0.1,0.3
116,2010-08-01,10.3,2.4,117,10.2,2.4,0.1,0.0
117,2010-09-01,10.3,2.2,118,10.3,2.4,0.0,-0.2
118,2010-10-01,10.3,2.4,119,10.3,2.2,0.0,0.2
119,2010-11-01,10.7,2.5,120,10.3,2.4,0.4,0.1
120,2010-12-01,10.2,2.3,121,10.7,2.5,-0.5,-0.2
121,2011-01-01,9.7,2.3,122,10.2,2.3,-0.5,0.0
122,2011-02-01,9.5,2.4,123,9.7,2.3,-0.2,0.1
123,2011-03-01,9.5,2.6,124,9.5,2.4,0.0,0.2
124,2011-04-01,9.6,2.4,125,9.5,2.6,0.1,-0.2
125,2011-05-01,9.7,2.5,126,9.6,2.4,0.1,0.1
126,2011-06-01,9.7,2.6,127,9.7,2.5,0.0,0.1
127,2011-07-01,9.8,2.7,128,9.7,2.6,0.1,0.1
128,2011-08-01,9.7,2.5,129,9.8,2.7,-0.1,-0.2
129,2011-09-01,9.8,2.7,130,9.7,2.5,0.1,0.2
130,2011-10-01,9.5,2.7,131,9.8,2.7,-0.3,0.0
131,2011-11-01,9.2,2.6,132,9.5,2.7,-0.3,-0.1
132,2011-12-01,9.0,2.8,133,9.2,2.6,-0.2,0.2
133,2012-01-01,8.8,2.7,134,9.0,2.8,-0.2,-0.1
134,2012-02-01,8.8,2.7,135,8.8,2.7,0.0,0.0
