,dscore,dinstt,doutstt,htpriv,vtpriv,dapps,htwrd,vtwrd,dwinrec,dpriv
0,10,-409.0,-4679,0,0,-1038,1,1,0,0
1,-14,,-66,0,0,-7051,1,1,0,0
2,23,-654.0,-637,0,0,6209,1,0,1,0
3,8,-222.0,456,0,0,-129,1,1,0,0
4,-12,-10.0,208,0,0,794,1,1,0,0
5,7,494.0,17,0,0,411,0,0,0,0
6,-21,2.0,2,0,0,-4363,1,1,0,0
7,-5,96.0,-333,0,0,1144,1,0,1,0
8,-3,223.0,2526,0,0,3956,0,0,0,0
9,-32,-20.0,0,0,0,-641,0,1,-1,0
10,9,66.0,0,0,0,-278,1,0,1,0
11,1,56.0,-346,0,0,-2223,1,0,1,0
12,7,556.0,717,0,0,-5217,1,0,1,0
13,-20,169.0,-461,0,0,1772,0,1,-1,0
14,35,-135.0,396,0,0,85,1,0,1,0
15,35,-40.0,0,0,0,-988,1,0,1,0
16,-25,24.0,0,0,0,-8140,1,1,0,0
17,-9,90.0,0,0,0,8418,0,1,-1,0
18,-33,27.0,900,0,0,-3273,0,0,0,0
19,7,-89.0,-31,0,0,1906,1,0,1,0
20,-3,536.0,2352,0,0,-151,1,1,0,0
21,-6,13261.0,9111,1,0,-9936,1,1,0,1
22,-29,13809.0,10076,1,0,-6265,0,1,-1,1
23,14,-17631.0,-10589,0,1,1252,1,0,1,-1
24,-18,14885.0,9983,1,0,-4529,1,1,0,1
25,48,-15220.0,-11400,0,1,-318,1,0,1,-1
26,-3,99.0,-29,0,0,-797,0,1,-1,0
27,-3,-54.0,-88,0,0,-372,0,1,-1,0
28,-3,-98.0,-4175,1,0,2460,1,1,0,1
29,2,-304.0,2987,0,1,-3035,1,1,0,-1
