,rd,sales,profits,rdintens,profmarg,salessq,lsales,lrd
0,430.6,4570.2,186.9,9.421906,4.089536,20886730.0,8.427312,6.06518
1,59.0,2830.0,467.0,2.0848057,16.501766,8008900.0,7.948032,4.0775375
2,23.5,596.8,107.4,3.9376676,17.99598,356170.22,6.391582,3.1570003
3,3.5,133.6,-4.3,2.6197603,-3.2185628,17848.96,4.8948503,1.2527629
4,1.7,42.0,8.0,4.0476193,19.047619,1764.0,3.7376697,0.53062826
5,8.4,390.0,47.3,2.153846,12.128205,152100.0,5.966147,2.1282318
6,2.5,93.9,0.9,2.6624067,0.9584664,8817.21,4.5422306,0.91629076
7,39.9,907.9,77.4,4.3947573,8.525167,824282.44,6.8111343,3.6863763
8,1136.0,19773.0,2563.0,5.7452083,12.96212,390971520.0,9.892073,7.035269
9,1428.0,39709.0,4154.0,3.596162,10.461104,1576804700.0,10.589334,7.26403
10,45.3,2936.5,93.7,1.5426528,3.1908734,8623032.0,7.984974,3.813307
11,65.2,2513.8,355.4,2.5936828,14.137958,6319190.5,7.8295507,4.1774592
12,20.3,1124.8,45.3,1.8047651,4.0273824,1265175.1,7.0253606,3.0106208
13,15.6,921.6,4.1,1.6927084,0.44487846,849346.5,6.8261113,2.7472708
14,74.0,2432.6,132.4,3.0420125,5.4427357,5917543.0,7.7967157,4.304065
15,147.5,6754.0,329.0,2.183891,4.871187,45616516.0,8.81789,4.9938283
16,29.2,1066.3,289.9,2.7384412,27.18747,1136995.8,6.97195,3.3741686
17,92.2,3199.9,163.2,2.88134,5.1001596,10239359.0,8.070875,4.52396
18,3.7,150.0,32.6,2.4666667,21.733332,22500.0,5.0106354,1.3083328
19,19.4,509.7,83.8,3.8061602,16.441044,259794.11,6.2338223,2.9652731
20,74.4,1452.7,271.2,5.121498,18.668688,2110337.2,7.281179,4.309456
21,612.0,8995.0,809.0,6.80378,8.993885,80910024.0,9.104424,6.4167323
22,45.3,1212.3,215.0,3.7366986,17.734884,1469671.4,7.1002746,3.813307
23,11.0,906.6,154.8,1.2133245,17.074785,821923.5,6.8097014,2.3978953
24,66.0,2592.0,116.0,2.5462964,4.4753084,6718464.0,7.860185,4.189655
25,10.4,201.5,23.0,5.16129,11.414392,40602.25,5.3057895,2.3418057
26,48.9,2617.8,60.5,1.8679807,2.311101,6852877.0,7.8700895,3.8897774
27,6.1,502.2,18.4,1.2146555,3.6638787,252204.86,6.2189984,1.8082888
28,178.2,2824.0,313.0,6.3101983,11.08357,7974976.0,7.9459095,5.1829066
29,3.0,292.2,6.4,1.026694,2.1902807,85380.84,5.6774387,1.0986123
30,191.0,7621.0,626.0,2.5062327,8.214145,58079640.0,8.938663,5.2522736
31,26.0,1631.5,105.8,1.5936255,6.48483,2661792.2,7.397255,3.2580965
