,rd,sales,rdintens,lrd,lsales,salessq
0,25.5,259.8,9.815243,3.2386785,5.559912,67496.03
1,2433.0,37285.0,6.525412,7.7968802,10.526346,1390171300.0
2,5.7,47.9,11.89979,1.7404661,3.8691156,2294.4102
3,1.7,35.7,4.7619047,0.53062826,3.5751507,1274.4901
4,41.0,14345.4,0.2858059,3.713572,9.571185,205790510.0
5,3.9,80.1,4.868914,1.3609766,4.383276,6416.01
6,16.0,456.8,3.5026271,2.7725887,6.1242456,208666.23
7,3.7,37.4,9.893047,1.3083328,3.6216707,1398.7601
8,2.8,39.8,7.035176,1.0296195,3.683867,1584.0399
9,51.8,519.3,9.974966,3.94739,6.252482,269672.47
10,6.9,280.5,2.459893,1.9315214,5.636574,78680.25
11,21.0,201.5,10.421837,3.0445225,5.3057895,40602.25
12,270.0,18374.0,1.4694678,5.598422,9.818692,337603870.0
13,17.0,84.5,20.118343,2.8332133,4.4367514,7140.25
14,2.8,207.3,1.3506994,1.0296195,5.334167,42973.293
15,3.4,67.4,5.0445104,1.2237755,4.210645,4542.7603
16,1.9,51.1,3.7181995,0.64185387,3.9337845,2611.21
17,12.9,374.7,3.4427538,2.5572274,5.9261255,140400.1
18,12.4,55.4,22.382671,2.5176964,4.01458,3069.1602
19,124.3,13585.3,0.9149596,4.822698,9.516744,184560370.0
20,15.7,127.8,12.28482,2.7536607,4.8504667,16332.841
21,5.3,71.8,7.3816156,1.6677068,4.2738843,5155.24
22,39.7,614.3,6.4626403,3.6813512,6.4204836,377364.47
23,4.7,36.2,12.983425,1.5475625,3.589059,1310.4401
24,6.4,90.2,7.0953445,1.856298,4.5020294,8136.0396
25,5.9,42.6,13.849767,1.7749524,3.7518542,1814.7599
26,31.6,211.0,14.976303,3.4531572,5.351858,44521.0
27,4.2,151.0,2.781457,1.4350845,5.0172796,22801.0
28,7.2,57.0,12.631578,1.974081,4.0430512,3249.0
