,sav,inc,size,educ,age,black,cons
0,30,1920,4,2,40,1,1890
1,874,12403,4,9,33,0,11529
2,370,6396,2,17,31,0,6026
3,1200,7005,3,9,50,0,5805
4,275,6990,4,12,28,0,6715
5,1400,6500,4,13,33,0,5100
6,3159,26007,5,17,36,0,22848
7,1766,15363,5,16,44,0,13597
8,3984,14999,5,9,48,1,11015
9,1017,9185,5,16,31,0,8168
10,1004,10600,10,9,41,0,9596
11,687,12089,4,10,41,0,11402
12,-34,6254,7,11,36,0,6288
13,-1389,9010,5,14,31,0,10399
14,1000,6217,5,7,27,0,5217
15,1831,5912,5,8,42,0,4081
16,613,4800,4,12,28,0,4187
17,50,2340,2,6,46,1,2290
18,13,7832,3,12,47,0,7819
19,1389,9563,7,8,35,0,8174
20,602,7600,3,9,41,0,6998
21,2221,13858,4,17,30,0,11637
22,1588,5802,6,12,38,0,4214
23,5082,19362,3,11,48,0,14280
24,1846,8000,3,10,36,0,6154
25,914,17200,3,12,45,0,16286
26,2483,4091,6,8,44,0,1608
27,837,9600,4,10,44,0,8763
28,1274,10425,3,3,46,0,9151
29,-275,6512,4,12,26,0,6787
30,1092,7675,5,12,50,0,6583
31,1157,12418,4,8,46,0,11261
32,340,6079,5,8,33,0,5739
33,373,6979,4,12,41,0,6606
34,3307,10517,5,17,33,0,7210
35,10668,30996,4,12,41,0,20328
36,1105,5283,3,12,29,1,4178
37,3500,8511,9,11,27,0,5011
38,541,12700,5,12,42,0,12159
39,3020,16770,5,16,39,0,13750
40,650,8300,6,12,36,0,7650
41,989,5375,4,8,34,0,4386
42,2532,6265,4,12,40,0,3733
43,6120,8520,4,12,37,0,2400
44,-2749,24226,5,17,44,0,26975
45,0,750,2,4,49,0,750
46,-1036,7356,5,12,33,0,8392
47,1351,9000,6,14,36,0,7649
48,-1150,14660,4,15,51,0,15810
49,-248,5593,5,12,37,0,5841
50,388,11841,4,19,33,0,11453
51,1157,7700,4,14,39,0,6543
52,1656,10550,3,12,44,0,8894
53,3959,13700,4,7,50,0,9741
54,5369,12242,4,12,39,0,6873
55,1405,7803,6,7,46,0,6398
56,220,9879,4,12,43,0,9659
57,-298,9154,6,11,40,1,9452
58,-276,7067,2,9,40,0,7343
59,-578,4496,8,7,39,0,5074
60,-1360,4636,6,10,34,1,5996
61,5277,9003,4,10,32,1,3726
62,980,13820,3,16,42,0,12840
63,2637,8891,2,8,52,0,6254
64,984,8632,6,12,29,0,7648
65,-76,8385,2,12,27,0,8461
66,902,5403,5,10,37,0,4501
67,10733,8573,2,12,52,0,-2160
68,716,6516,3,12,32,0,5800
69,200,6000,4,12,35,0,5800
70,6,16778,3,13,31,0,16772
71,1464,9504,5,9,36,0,8040
72,948,8953,6,16,34,0,8005
73,835,8703,3,12,54,0,7868
74,-2883,12667,4,12,52,0,15550
75,298,6504,6,9,28,0,6206
76,481,8180,6,12,44,0,7699
77,5033,11600,4,17,29,0,6567
78,-111,5602,4,9,50,0,5713
79,0,10390,4,8,50,0,10390
80,4115,30610,4,16,44,0,26495
81,2575,3941,4,9,34,0,1366
82,-112,2936,7,10,39,0,3048
83,-5577,11068,5,12,39,0,16645
84,2750,8338,4,14,29,0,5588
85,95,6683,3,8,38,0,6588
86,1348,7212,5,10,30,0,5864
87,178,10411,3,10,50,0,10233
88,-695,8850,2,8,33,0,9545
89,787,8334,4,9,35,0,7547
90,4642,13923,3,16,36,0,9281
91,1260,6214,4,12,33,0,4954
92,2687,12323,6,20,38,0,9636
93,720,14963,4,12,46,0,14243
94,5109,10060,4,16,50,0,4951
95,1800,32080,2,16,54,0,30280
96,1684,9260,5,12,31,0,7576
97,1475,10450,2,18,27,0,8975
98,566,9138,5,12,40,0,8572
99,25405,12350,6,18,34,0,-13055
